 | 1ESOE | AAS   | EF    | P-1   | 1 | 1 | 
 | 2ESOH | AAS   | TEC   | 301   | 1 | 2 | 
 | 3ESOA | AAS   | EF    | P-3   | 1 | 2 | 
 | 2ESOF | AAS   | TEC   | 301   | 1 | 3 | 
 | 1ESOH | AAS   | EF    | P-3   | 1 | 5 | 
 | 2ESOG | AAS   | TEC   | 301   | 2 | 1 | 
 | 4ESOB | AAS   | EF    | P-3   | 2 | 1 | 
 | 1ESOG | AAS   | TAP   | 301   | 2 | 2 | 
 | 1ESOH | AAS   | TAP   | 301   | 2 | 2 | 
 | 1ESOI | AAS   | TAP   | 301   | 2 | 2 | 
 | 1BS   | AAS   | EFI   | P-2   | 2 | 2 | 
 | 4ESOD | AAS   | EF    | 5S    | 2 | 3 | 
 | 1BCT  | AAS   | EFI   | 5S    | 2 | 5 | 
 | 2ESOE | AAS   | TEC   | 301   | 2 | 6 | 
 | 3ESOB | AAS   | EF    | P-1   | 3 | 1 | 
 | 2ESOE | AAS   | TEC   | 301   | 3 | 2 | 
 | 1ESOD | AAS   | EF    | P-3   | 3 | 3 | 
 | 2ESOH | AAS   | TEC   | 301   | 3 | 3 | 
 | 1ESOA | AAS   | TAP   | 301   | 3 | 5 | 
 | 1ESOB | AAS   | TAP   | 301   | 3 | 5 | 
 | 1ESOC | AAS   | TAP   | 301   | 3 | 5 | 
 | 1ESOH | AAS   | EF    | P-1   | 3 | 5 | 
 | 3ESOA | AAS   | EF    | 5S    | 3 | 6 | 
 | 1ESOA | AAS   | TAP   | 301   | 4 | 1 | 
 | 1ESOB | AAS   | TAP   | 301   | 4 | 1 | 
 | 1ESOC | AAS   | TAP   | 301   | 4 | 1 | 
 | 1BS   | AAS   | EFI   | 5S    | 4 | 1 | 
 | 1ESOG | AAS   | TAP   | 301   | 4 | 2 | 
 | 1ESOH | AAS   | TAP   | 301   | 4 | 2 | 
 | 1ESOI | AAS   | TAP   | 301   | 4 | 2 | 
 | 4ESOB | AAS   | EF    | 5S    | 4 | 2 | 
 | 1ESOE | AAS   | EF    | P-2   | 4 | 3 | 
 | 2ESOG | AAS   | TEC   | 301   | 4 | 3 | 
 | 2ESOF | AAS   | TEC   | 414   | 4 | 5 | 
 | 4ESOD | AAS   | EF    | P-3   | 4 | 5 | 
 | 2ESOE | AAS   | TEC   | 413   | 5 | 1 | 
 | 2ESOF | AAS   | TEC   | 301   | 5 | 2 | 
 | 2ESOG | AAS   | TEC   | 416   | 5 | 3 | 
 | 3ESOB | AAS   | EF    | 5S    | 5 | 5 | 
 | 1BCT  | AAS   | EFI   | P-2   | 5 | 6 | 
 | 1ESOD | AAS   | EF    | P-3   | 5 | 7 | 
 | 2ESOH | AAS   | TEC   | 417   | 5 | 7 | 
 | 1ESOG | ACC   | MAT   | 411   | 1 | 1 | 
 | 1BCT  | ACC   | MAT   | 201   | 1 | 3 | 
 | 1ESOF | ACC   | LIBD2 | 411   | 1 | 5 | 
 | 1ESOG | ACC   | LIBD2 | 411   | 1 | 5 | 
 | 1BCT  | ACC   | MAT   | 201   | 2 | 1 | 
